system   D            wsystem.c:583  maybe_parent_dir                 [   0.00102] Also searching D:\compilator\OOP\kursova\smartchess1_copy\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00205] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00213] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.02824] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.08460] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.08468] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.08628] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.08632] al_display=00A8B8C0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.08633] al_display->vt=00A8B7F8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.11920] found 96 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.11926] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11929] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11931] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11933] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11935] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11937] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11938] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11941] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11942] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11945] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11946] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11948] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11950] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11952] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11957] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11965] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11967] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11970] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11971] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11974] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11975] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11978] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11979] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11990] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.11993] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11996] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11997] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12000] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12001] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12003] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12005] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12007] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12009] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12011] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12013] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12015] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12017] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12019] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12020] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12023] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12024] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12027] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12028] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12031] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12032] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12034] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.12036] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12038] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.12040] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12042] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12044] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12046] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12048] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12050] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12052] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12055] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12056] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12059] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12060] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12063] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12064] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12067] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12068] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12071] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12072] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12075] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12076] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12079] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12080] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12083] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12084] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12086] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12088] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12090] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12092] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12094] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12096] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12098] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12100] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12102] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12104] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12106] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12108] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12110] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12112] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12114] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12116] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12118] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12120] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12122] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12124] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12126] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12128] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12130] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12132] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12134] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12136] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12138] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12140] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12142] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12143] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12146] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12147] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12150] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12151] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12154] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12156] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12158] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12160] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12162] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12163] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12166] Score is : 769
